Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Копитко,Марина,Олександрівна,Жіноча,28.05.1947,Державний службовець,місто Любомль,"сквер Гагарінське плато, буд. 1 кв. 968, Жмеринка, 18681",405-83-49,myroslavartym@example.org
Щербань,Емілія,Олександрівна,Жіноча,11.01.1956,Електромонтер,селище Бережани,"узвіз Республіканська, буд. 15 кв. 348, Новгород-Сіверський, 84711",+380 (34) 534-54-25,liliia33@example.net
Верменич,Христина,Олександрівна,Жіноча,17.12.1960,Складальник,хутір Апостолове,"парк Пресича Олександра, буд. 0 кв. 2, Рені, 04922",+380 98 037-59-79,kamilla28@example.com
Кащенко,Тетяна,Вікторівна,Жіноча,14.01.1956,Клавішник,селище Тальне,"парк Дальницька, буд. 316, Щолкіне, 27420",+380 (63) 243-38-18,stanislav49@example.net
Петренко,Мілена,Дмитрівна,Жіноча,24.03.1946,Зоолог,хутір Олешки,"сквер Панаса Мирного, буд. 43, Роздільна, 35421",409-25-51,ielysaveta41@example.net
Карпенко,Анастасія,Сергіївна,Жіноча,26.05.1982,Няня,селище Львів,"узвіз Просьолочна, буд. 369 кв. 4, Березань , 11680",045 506-58-41,riabetshlib@example.net
Цибуленко,Михайлина,Федорівна,Жіноча,21.07.1988,Випробувач,місто Остер ,"сквер Виїзна, буд. 1 кв. 871, Авдіївка, 58484",+380 70 543-55-28,dupliikostiantyn@example.com
Скорик,Оксана,Іванівна,Жіноча,26.04.2001,Пекар,селище Малин,"проспект Курська, буд. 233 кв. 13, Бережани, 44366",+380 69 516 18 60,boleslav54@example.org
Затовканюк,Ярослава,Михайлівна,Жіноча,25.10.1937,Няня,село Винники,"шосе Монгольська, буд. 7 кв. 4, Красногорівка, 38572",+380 90 653 95 16,qneporozhnii@example.org
Гайдабура,Одарка,Володимирівна,Жіноча,12.11.1958,Паблік рилейшнз,селище Куп'янськ,"проспект 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 166 кв. 295, Валки , 44823",+380 58 238 64 75,skorykomelian@example.net
Чабан,Пріска,Андріївна,Жіноча,18.09.1979,Краєзнавець,місто Підгайці,"проспект 8-ма Лінія 6-й ст. Люстдорфської дороги, буд. 88, Васильків, 89694",216-70-81,nestaikonataliia@example.org
Панчук,Богданна,Дмитрівна,Жіноча,24.12.1948,Антрополог,село Золочів,"набережна Геологічна, буд. 2, Іршава, 36911",+380 18 766 06 39,viktoriiaartiukh@example.com
Вергун,Марʼяна,Сергіївна,Жіноча,25.05.1983,Складальник,місто Бар,"площа 13-та Лінія 6-й ст. Люстдорфської дороги, буд. 63 кв. 8, Підгородне, 24970",+380 39 071-80-92,vivcharenkoada@example.net
Щербак,Аліна,Федорівна,Жіноча,11.05.1942,Мінералог,хутір Умань,"провулок Іванова Ігоря, буд. 461 кв. 42, Здолбунів, 44100",890 25 55,volodymyraisaievych@example.net
Ткач,Василина,Федорівна,Жіноча,27.12.2001,Хореограф,хутір Курахове,"набережна Гранатна, буд. 2, Кобеляки, 29778",+380 (48) 768-83-63,makar26@example.com
Євдокименко,Анжела,Андріївна,Жіноча,18.12.1986,Бібліотекар,хутір Помічна,"набережна Соляний 3-й, буд. 609, Івано-Франківськ, 39824",+380 90 239-33-31,chernenkotaras@example.com
Шеремета,Світлана,Сергіївна,Жіноча,10.07.1971,Дерун,селище Енергодар,"сквер Благовидової, буд. 17, Мирноград, 33401",+380 25 663-72-99,albina45@example.org
Івасюк,Тереза,Петрівна,Жіноча,19.09.2005,Доцент,хутір Красноград,"проспект Сінна, буд. 1, Сновськ, 91437",166-56-63,protsenkobohdan@example.net
Дубас,Анжела,Петрівна,Жіноча,22.11.1999,Піаніст,хутір Олександрівськ,"сквер 3-тя Лінія Марії Демченко, буд. 221, Галич, 16866",+380 93 345-94-31,levchenkokyrylo@example.com
Бебешко,Володимира,Володимирівна,Жіноча,22.06.2004,Мистецтвознавець,селище Косів,"сквер Мазепи Івана, буд. 0, Заставна, 10281",+380 44 871 79 10,kostiantynsatsiuk@example.org
Литвин,Марта,Сергіївна,Жіноча,29.04.1998,Стиліст,місто Вилкове,"набережна Пересипська 5-та, буд. 72 кв. 9, Червоносів, 47446",159 92 20,favdieienko@example.com
Чорновіл,Людмила,Федорівна,Жіноча,21.04.1964,Єгер,селище Сєвєродонецьк,"площа Поштова, буд. 80, Новий Калинів, 57105",+380 39 063-89-73,leontii30@example.org
Єрченко,Галина,Олександрівна,Жіноча,30.10.1987,Електромонтер,місто Заліщики,"проспект Вернидуба, буд. 983, Кам'янське, 66058",001 568-72-45,orestdeineko@example.net
Бандера,Світлана,Сергіївна,Жіноча,26.02.2000,Піаніст,селище Мар'їнка,"проспект Прибережний, буд. 0, Полонне, 03394",096 281 90 48,mamchurtereza@example.org
Влох,Аніта,Дмитрівна,Жіноча,07.12.1973,Ріелтор,село Бунге ,"шосе Сибірська, буд. 69, Копичинці, 04226",+380 92 127-42-61,priskaavdieienko@example.org
Верхола,Віолетта,Дмитрівна,Жіноча,28.01.1950,Вчитель,хутір Хирів,"шосе Водний, буд. 48, Рівне, 47792",646 22 22,lahodaavhustyn@example.org
Макогон,Златослава,Петрівна,Жіноча,08.03.1999,Публіцист,хутір Болград,"парк Обільний 1-й, буд. 837 кв. 94, Сулимівка (Слов'янськ), 35168",+380 (06) 517-61-62,heorhiimykhailiuk@example.com
Харченко,Ганна,Дмитрівна,Жіноча,22.03.1985,Геофізик,місто Кагарлик,"вулиця Велика Арнаутська, буд. 550, Ромни, 91881",+380 77 707-76-66,adrobakha@example.net
Оніщук,Дарина,Михайлівна,Жіноча,07.03.2003,Ботанік,селище Борщів,"площа Квітнева, буд. 6 кв. 0, Олевськ, 46982",+380 (60) 286-59-20,lahodatrokhym@example.org
Заруба,Єва,Дмитрівна,Жіноча,28.05.2007,Мовознавець,хутір Довжанськ,"сквер Саксаганського, буд. 66, Долинська, 55409",+380 98 278-39-48,okseniia19@example.com
Ковалюк,Василина,Олександрівна,Жіноча,19.02.1978,Льотчик,селище Щолкіне,"сквер Толбухіна, буд. 91 кв. 411, Шахтарськ, 67763",629-29-07,baranetsmaryna@example.com
Устенко,Клавдія,Дмитрівна,Жіноча,08.01.1995,Машиніст,селище Бершадь,"парк Лінія 44-та, буд. 963, Ічня, 79571",366-07-28,ivyshniak@example.org
Ващенко,Пріска,Олександрівна,Жіноча,15.09.1962,Кінорежисер,місто Пирятин,"сквер Нафтовиків 3-й, буд. 63, Кам'янське, 28293",+380 (74) 083-48-37,dubenkoeduard@example.net
Бевз,Аліна,Олександрівна,Жіноча,30.12.2005,Ботанік,селище Харків,"шосе Єрмака, буд. 694 кв. 211, Червоносів, 44395",157 40 39,hieroshenko@example.com
Яремчук,Людмила,Вікторівна,Жіноча,17.01.1956,Режисер,село Мала Виска,"проспект Краснова, буд. 6, Кремінна, 95592",039 102-94-14,vtsiutsiura@example.org
Дзиндра,Маруся,Володимирівна,Жіноча,17.11.1965,Каскадер,село Ялта,"узвіз Дежньова, буд. 15 кв. 5, Решетилівка, 02411",+380 (01) 914-66-81,solomiia03@example.com
Гунько,Єлисавета,Андріївна,Жіноча,22.10.1966,Педагог,місто Судак ,"узвіз Тульська, буд. 2, Токмак, 83282",044 770 82 77,ikorzh@example.org
Фартушняк,Данна,Дмитрівна,Жіноча,25.02.1956,Головний меркшейдер,місто Куп'янськ,"провулок Хімічна, буд. 47, Вознесенівка, 77176",807 03 72,ostapmatiash@example.org
Ляшко,Михайлина,Володимирівна,Жіноча,05.07.1991,Геолог,селище Славутич,"набережна Студентський 3-й, буд. 17 кв. 88, Алмазна, 88112",+380 (76) 854-93-64,mtsiupa@example.net
Яремко,Ада,Петрівна,Жіноча,05.09.1987,Лікар,хутір Березань ,"вулиця Байдарочний, буд. 1, Кам'янець-Подільський, 99617",099 731 74 33,dliashko@example.net
Яценко,Данна,Олександрівна,Жіноча,18.06.1971,Клавішник,хутір Мар'їнка,"вулиця Лиманчик 2-й Лінія 1-ша, буд. 26 кв. 1, Приморськ (Україна), 93597",430-85-20,vira12@example.net
Дробаха,Пріска,Федорівна,Жіноча,21.04.1943,Піаніст,село Оріхів,"набережна Лінія 23-тя, буд. 00, Щастя , 45554",+380 (41) 067-74-39,qieroshenko@example.org
Луценко,Пріска,Михайлівна,Жіноча,28.06.2006,Електротехнік,село Гайсин,"парк Авіаційна, буд. 27 кв. 9, Тиврів, 73606",+380 82 211-14-55,avrelii16@example.com
Туркало,Розалія,Вікторівна,Жіноча,22.09.1960,Намотувальник,село Зеленодольськ,"провулок Гетьманський, буд. 918, Сколе, 34253",+380 14 519-85-33,bivanychuk@example.org
Авдєєнко,Святослава,Михайлівна,Жіноча,20.05.1975,Вчитель,селище Берегове,"узвіз Деревообробна, буд. 1 кв. 9, Теребовля, 45000",+380 44 211 41 04,nonyshchenko@example.com
Деркач,Богданна,Володимирівна,Жіноча,31.12.1978,Мірошник,село Вознесенівка,"площа Горизонтальна, буд. 22, Антрацит , 95449",+380 (18) 199-61-26,nilchenko@example.net
Артимишин,Амалія,Федорівна,Жіноча,23.01.1958,Живописець,селище Червоноград,"шосе Балтський 3-й, буд. 80 кв. 3, Заліщики, 07274",085 365 66 55,tymofiiiarosh@example.net
Швачко,Єва,Олександрівна,Жіноча,18.08.1955,Електромонтер,місто Дунаївці,"шосе Людмили Гінзбург, буд. 0, Добропілля, 40896",+380 (39) 885-32-53,solomiiabaidak@example.org
Фастенко,Аліна,Іванівна,Жіноча,18.12.1969,Конструктор,село Корсунь-Шевченківський,"площа Сирітський, буд. 9, Кам'янське, 47629",+380 (60) 530-69-20,rzaruba@example.org
Гавриш,Оксана,Іванівна,Жіноча,29.04.1977,Мікробіолог,село Хуст,"сквер Локомотивний 3-й, буд. 9, Ржищів, 96566",075 498 40 32,darynadubyna@example.org
Гайдай,Едита,Сергіївна,Жіноча,16.07.2007,Фермер,місто Мирноград,"провулок Місячна, буд. 47, Вільнянськ, 33101",+380 (61) 245-95-48,kostiantyn64@example.net
Фартушняк,Михайлина,Федорівна,Жіноча,30.11.1990,Продюсер,хутір Гайсин,"парк Травневий 3-й, буд. 96 кв. 2, Генічеськ, 45960",+380 27 060 44 64,serhiinosenko@example.org
Шморгун,Данна,Володимирівна,Жіноча,08.10.1984,Літературознавець,селище Авдіївка,"сквер Бахчева, буд. 781 кв. 93, Коломия, 84323",+380 70 988 44 58,rebryksnizhana@example.org
Жаліло,Володимира,Андріївна,Жіноча,14.11.1975,Стропальник,хутір Світловодськ,"вулиця Рачкова, буд. 01, Корець, 78676",+380 03 620-01-77,jtymchuk@example.org
Ісаєнко,Марʼяна,Вікторівна,Жіноча,16.06.1947,Дизайнер,хутір Берегове,"набережна Каманіна, буд. 8, Заводське, 82698",105-45-53,pavlohavryliv@example.org
Сімашкевич,Марина,Петрівна,Жіноча,23.08.1962,Перекладач,селище Вільногірськ,"набережна Олександра Невського 5-й, буд. 15 кв. 1, Шаргород, 80696",133 72 44,nataliia88@example.net
Петренко,Богданна,Вікторівна,Жіноча,24.12.1986,Єгер,місто Герца,"вулиця Терещенка Володимира, буд. 330 кв. 204, Синельникове, 85152",078 571-44-52,avhustyn51@example.com
Затула,Пріска,Дмитрівна,Жіноча,02.03.1956,Філолог,хутір Білозерське,"сквер Житомирський 4-й, буд. 420 кв. 193, Прип'ять , 91140",081 106 34 22,babychnadiia@example.net
Цісик,Віолетта,Петрівна,Жіноча,18.02.1990,Акушер,місто Феодосія,"проспект Левадна, буд. 2, Богодухів, 50581",+380 47 913 38 49,dzhunvasyl@example.com
Гаврилів,Тетяна,Вікторівна,Жіноча,21.10.1945,Дипломат,хутір Соснівка ,"шосе Академіка Гаркавого, буд. 011, Городня, 08515",026 695-76-45,spas49@example.net
Байдак,Орися,Федорівна,Жіноча,02.10.2006,Мінералог,хутір Славута,"площа Хімічна, буд. 7, Перемишляни, 78516",+380 24 933-26-51,lostapchuk@example.net
Масляк,Святослава,Федорівна,Жіноча,20.11.1940,Сценарист,хутір Дубно,"проспект Сонячна, буд. 00, Рава-Руська, 35628",+380 15 119 08 71,roman04@example.com
Єременко,Оксенія,Дмитрівна,Жіноча,10.07.1946,Співак,селище Лохвиця,"провулок Цебриківська, буд. 6, Чуднів, 87960",+380 82 389 05 22,ievavasylechko@example.org
Андрієнко,Світлана,Михайлівна,Жіноча,07.04.1997,Бухгалтер,село Жмеринка,"вулиця Сільськогосподарський, буд. 19, Сновськ, 85942",044-81-33,maryna62@example.net
Тесля,Дарина,Олександрівна,Жіноча,28.09.2000,Ді-джей,селище Вільнянськ,"шосе Кострова, буд. 2 кв. 96, Дубно, 13499",231-92-34,pavlenkoalina@example.org
Байдак,Маруся,Олександрівна,Жіноча,07.12.1938,Піаніст,село Немирів,"проспект Крайня, буд. 27 кв. 237, Монастириська, 95518",009 276 64 18,olhaverkhovynets@example.com
Лубенець,Тетяна,Петрівна,Жіноча,08.01.1949,Дантист,хутір Ізмаїл,"парк Декабристів, буд. 719, Хоростків, 64839",031 715 27 39,spas18@example.com
Назаренко,Оксана,Володимирівна,Жіноча,10.03.1940,Науковець,хутір Попасна,"вулиця Ткачова, буд. 5 кв. 1, Білопілля, 61686",013 635-03-95,romandemianenko@example.org
Ткаченко,Ірина,Олександрівна,Жіноча,03.06.1991,Модельєр,селище Рівне,"парк Дерибасівська, буд. 74 кв. 0, Борислав, 17449",+380 65 422-24-15,zlatoslava90@example.com
Оніщук,Галина,Михайлівна,Жіноча,25.07.1982,Етнограф,хутір Новий Розділ,"узвіз Палія Семена, буд. 40 кв. 9, Шостка, 36605",+380 (18) 722-48-61,pylypartymovych@example.org
Рудько,Галина,Петрівна,Жіноча,27.02.1990,Провізор,хутір Чуднів,"площа Тінистий, буд. 952 кв. 909, Деражня, 16390",489-54-52,kylymnykboryslav@example.com
Симоненко,Олена,Вікторівна,Жіноча,28.12.1983,Графік,місто Умань,"площа 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 120 кв. 2, Добромиль, 70929",+380 08 810 20 80,onysym27@example.net
Шутько,Орися,Андріївна,Жіноча,02.12.1965,Архітектор,хутір Кодима,"шосе Деревообробний 2-й, буд. 42 кв. 3, Світловодськ, 14026",+380 99 215-71-93,spas58@example.com
Яценко,Едита,Федорівна,Жіноча,05.09.1940,Менеджер,місто Зміїв,"провулок Черняховського, буд. 047, Радивилів, 95730",349-46-93,nazar18@example.org
Жук,Дарина,Олександрівна,Жіноча,18.02.1944,Менеджер,хутір Ланівці,"узвіз Балтська дорога, буд. 775 кв. 2, Марганець , 30387",085 808 27 37,iurchyshyntetiana@example.com
Скоробогатько,Людмила,Федорівна,Жіноча,30.03.1962,Стиліст,село Тростянець,"вулиця Спортивний, буд. 200, Овруч, 70508",981 27 94,artiushenkotrokhym@example.org
Павлик,Софія,Іванівна,Жіноча,17.02.2006,Адвокат,селище Дергачі,"узвіз Новомосковська дорога, буд. 149, Токмак, 78863",097 654-25-73,zakhar04@example.org
Макогон,Валентина,Вікторівна,Жіноча,20.11.1956,Євнух,село Чернігів,"площа Короленка, буд. 52, Привілля, 55793",915-43-37,mazurkostiantyn@example.org
Жадан,Орина,Михайлівна,Жіноча,09.12.1972,Конструктор,хутір Волочиськ,"парк Лінія 32-га, буд. 62, Кременець, 10660",090 78 88,medvedenkotymofii@example.com
Барабаш,Аніта,Федорівна,Жіноча,22.02.1963,Бізнесмен,селище Кальміуське,"площа Миколи Вороного, буд. 9, Первомайський , 82838",046 339-89-60,marynakorbut@example.net
Шило,Наталія,Володимирівна,Жіноча,08.07.1939,Клавішник,хутір Новодружеськ,"сквер Привокзальний, буд. 705 кв. 82, Херсон, 40449",+380 12 476-63-83,pandriienko@example.net
Архипенко,Пріска,Петрівна,Жіноча,24.03.1940,Астронавт,селище Кипуче,"шосе Красний, буд. 82 кв. 36, Нікополь, 87368",643-78-18,cvasylechko@example.com
Бгиденко,Наталія,Федорівна,Жіноча,13.11.1966,Намотувальник,хутір Іршава,"сквер Абрикосова, буд. 23, Новогродівка, 22255",+380 56 401 88 22,msych@example.org
Тимченко,Ганна,Вікторівна,Жіноча,25.04.1939,Геолог,селище Кілія,"парк Черняховського, буд. 84 кв. 084, Винники, 03844",208 70 69,vladyslav37@example.org
Хмара,Ярина,Федорівна,Жіноча,16.08.1967,Пілот,село Хмельницький,"провулок Книжковий, буд. 377 кв. 63, Нововолинськ, 43012",+380 16 500-71-78,maksymsomko@example.com
Лесик,Розалія,Олександрівна,Жіноча,12.11.1940,Бібліотекар,місто Сновськ,"парк Різовська, буд. 977, Біла Церква, 32335",746 42 66,frankoteodor@example.org
Андріїшин,Розалія,Вікторівна,Жіноча,23.08.1960,Кухар,місто Збараж,"узвіз Вапняний 1-й, буд. 486 кв. 63, Сміла, 09572",289 85 12,lahodademyd@example.com
Бабенко,Богуслава,Дмитрівна,Жіноча,04.03.1990,Стиліст,хутір Святогірськ,"провулок Гена Іоганна, буд. 70 кв. 6, П'ятихатки, 73110",+380 93 758-39-35,omelian68@example.com
Атаманчук,Оксана,Дмитрівна,Жіноча,07.11.1974,Правник,хутір Рівне,"парк Калинова, буд. 63, Заводське, 85178",380 50 09,barabashpanteleimon@example.com
Дейсун,Василина,Іванівна,Жіноча,10.11.1983,Головний меркшейдер,місто Прип'ять ,"провулок Ялинковий, буд. 59, Христинівка, 81297",096 086-87-51,poltavetsmykyta@example.org
Дурдинець,Марія,Олександрівна,Жіноча,09.04.1979,Антрополог,місто Попасна,"узвіз Усатівська, буд. 95 кв. 259, Житомир, 72638",066 973 39 59,xhavrylyshyn@example.org
Шило,Ада,Андріївна,Жіноча,12.03.1983,Науковець,хутір Очаків,"узвіз Маршала Бабаджаняна, буд. 721 кв. 6, Інкерман, 77476",+380 (55) 132-23-60,vshovkoplias@example.org
Конопля,Наталія,Дмитрівна,Жіноча,20.11.2006,Мірошник,місто Бровари,"проспект Пересипська 2-га, буд. 281, Тлумач, 82161",+380 45 647-18-63,priskazhuchenko@example.net
Ейбоженко,Емілія,Петрівна,Жіноча,06.09.1981,Бухгалтер,селище Путивль,"парк Китобійний 2-й, буд. 01, Бунге , 18206",989 34 57,dmytrozaporozhets@example.com
Швайка,Мілена,Михайлівна,Жіноча,26.08.2008,Випробувач,хутір Борислав,"узвіз Тираспольське, буд. 81, Підгайці, 73738",+380 (97) 672-66-41,bishchenko@example.net
Журба,Оксенія,Федорівна,Жіноча,13.01.2004,Художник,хутір Іршава,"узвіз Кутузова, буд. 5 кв. 906, Ізюм, 17813",+380 (38) 349-48-84,rriabchenko@example.net
Червоненко,Єлисавета,Дмитрівна,Жіноча,15.02.1998,Бухгалтер,місто Роздільна,"проспект Ямчитського, буд. 696, Середина-Буда, 83590",713-32-58,avdieienkoiukhym@example.net
Василашко,Камілла,Андріївна,Жіноча,02.10.1996,Астронавт,хутір Боярка,"узвіз Травневий, буд. 847, Покровськ, 34852",068 819 49 72,ielyseivasylevych@example.com
Їжак,Альбіна,Володимирівна,Жіноча,17.10.1962,Державний службовець,хутір Березань ,"парк Північна, буд. 2 кв. 5, Покровськ, 45813",+380 54 872-44-50,rchernenko@example.org
Чередник,Світлана,Вікторівна,Жіноча,06.04.1966,Науковець,село Немирів,"вулиця Балтська дорога, буд. 4 кв. 647, Богуслав, 34526",+380 88 776-96-95,iustym46@example.net
Ярема,Маруся,Петрівна,Жіноча,20.10.1959,Електротехнік,село Красилів,"сквер Уральський, буд. 3, Єнакієве, 60557",621 48 89,prokhirchumachenko@example.com
